level,year,name,county,units,value
2_counties,2003,Middlesex County,NA,1 unit,702
2_counties,2003,Middlesex County,NA,2 to 4 units,0
2_counties,2003,Middlesex County,NA,5+ units,119
2_counties,2003,New Haven County,NA,1 unit,1340
2_counties,2003,New Haven County,NA,2 to 4 units,82
2_counties,2003,New Haven County,NA,5+ units,404
2_counties,2003,New London County,NA,1 unit,947
2_counties,2003,New London County,NA,2 to 4 units,33
2_counties,2003,New London County,NA,5+ units,242
2_counties,2003,Tolland County,NA,1 unit,619
2_counties,2003,Tolland County,NA,2 to 4 units,2
2_counties,2003,Tolland County,NA,5+ units,110
2_counties,2003,Windham County,NA,1 unit,529
2_counties,2003,Windham County,NA,2 to 4 units,12
2_counties,2003,Windham County,NA,5+ units,13
2_counties,2004,Fairfield County,NA,1 unit,1840
2_counties,2004,Fairfield County,NA,2 to 4 units,123
2_counties,2004,Fairfield County,NA,5+ units,532
2_counties,2004,Hartford County,NA,1 unit,1979
2_counties,2004,Hartford County,NA,2 to 4 units,94
2_counties,2004,Hartford County,NA,5+ units,316
2_counties,2004,Litchfield County,NA,1 unit,799
2_counties,2004,Litchfield County,NA,2 to 4 units,4
2_counties,2004,Litchfield County,NA,5+ units,7
2_counties,2004,Middlesex County,NA,1 unit,763
2_counties,2004,Middlesex County,NA,2 to 4 units,0
2_counties,2004,Middlesex County,NA,5+ units,200
2_counties,2004,New Haven County,NA,1 unit,1752
2_counties,2004,New Haven County,NA,2 to 4 units,72
2_counties,2004,New Haven County,NA,5+ units,710
2_counties,2004,New London County,NA,1 unit,987
2_counties,2004,New London County,NA,2 to 4 units,54
2_counties,2004,New London County,NA,5+ units,307
2_counties,2004,Tolland County,NA,1 unit,577
2_counties,2004,Tolland County,NA,2 to 4 units,4
2_counties,2004,Tolland County,NA,5+ units,125
2_counties,2004,Windham County,NA,1 unit,566
2_counties,2004,Windham County,NA,2 to 4 units,26
2_counties,2004,Windham County,NA,5+ units,0
2_counties,2005,Fairfield County,NA,1 unit,2054
2_counties,2005,Fairfield County,NA,2 to 4 units,58
2_counties,2005,Fairfield County,NA,5+ units,1007
2_counties,2005,Hartford County,NA,1 unit,1759
2_counties,2005,Hartford County,NA,2 to 4 units,107
2_counties,2005,Hartford County,NA,5+ units,621
2_counties,2005,Litchfield County,NA,1 unit,674
2_counties,2005,Litchfield County,NA,2 to 4 units,4
2_counties,2005,Litchfield County,NA,5+ units,0
2_counties,2005,Middlesex County,NA,1 unit,620
2_counties,2005,Middlesex County,NA,2 to 4 units,8
2_counties,2005,Middlesex County,NA,5+ units,167
2_counties,2005,New Haven County,NA,1 unit,1693
2_counties,2005,New Haven County,NA,2 to 4 units,50
2_counties,2005,New Haven County,NA,5+ units,508
2_counties,2005,New London County,NA,1 unit,945
2_counties,2005,New London County,NA,2 to 4 units,78
2_counties,2005,New London County,NA,5+ units,185
2_counties,2005,Tolland County,NA,1 unit,523
2_counties,2005,Tolland County,NA,2 to 4 units,8
2_counties,2005,Tolland County,NA,5+ units,223
2_counties,2005,Windham County,NA,1 unit,549
2_counties,2005,Windham County,NA,2 to 4 units,32
2_counties,2005,Windham County,NA,5+ units,12
2_counties,2006,Fairfield County,NA,1 unit,1480
2_counties,2006,Fairfield County,NA,2 to 4 units,119
2_counties,2006,Fairfield County,NA,5+ units,340
2_counties,2006,Hartford County,NA,1 unit,1682
2_counties,2006,Hartford County,NA,2 to 4 units,129
2_counties,2006,Hartford County,NA,5+ units,494
2_counties,2006,Litchfield County,NA,1 unit,534
2_counties,2006,Litchfield County,NA,2 to 4 units,0
2_counties,2006,Litchfield County,NA,5+ units,7
2_counties,2006,Middlesex County,NA,1 unit,483
2_counties,2006,Middlesex County,NA,2 to 4 units,10
2_counties,2006,Middlesex County,NA,5+ units,141
2_counties,2006,New Haven County,NA,1 unit,1156
2_counties,2006,New Haven County,NA,2 to 4 units,79
2_counties,2006,New Haven County,NA,5+ units,419
2_counties,2006,New London County,NA,1 unit,801
2_counties,2006,New London County,NA,2 to 4 units,36
2_counties,2006,New London County,NA,5+ units,169
2_counties,2006,Tolland County,NA,1 unit,532
2_counties,2006,Tolland County,NA,2 to 4 units,8
2_counties,2006,Tolland County,NA,5+ units,159
2_counties,2006,Windham County,NA,1 unit,439
2_counties,2006,Windham County,NA,2 to 4 units,14
2_counties,2006,Windham County,NA,5+ units,5
2_counties,2007,Fairfield County,NA,1 unit,1438
2_counties,2007,Fairfield County,NA,2 to 4 units,125
2_counties,2007,Fairfield County,NA,5+ units,727
2_counties,2007,Hartford County,NA,1 unit,1148
2_counties,2007,Hartford County,NA,2 to 4 units,117
2_counties,2007,Hartford County,NA,5+ units,446
2_counties,2007,Litchfield County,NA,1 unit,375
2_counties,2007,Litchfield County,NA,2 to 4 units,9
2_counties,2007,Litchfield County,NA,5+ units,0
2_counties,2007,Middlesex County,NA,1 unit,401
2_counties,2007,Middlesex County,NA,2 to 4 units,0
2_counties,2007,Middlesex County,NA,5+ units,157
2_counties,2007,New Haven County,NA,1 unit,786
2_counties,2007,New Haven County,NA,2 to 4 units,61
2_counties,2007,New Haven County,NA,5+ units,409
2_counties,2007,New London County,NA,1 unit,572
2_counties,2007,New London County,NA,2 to 4 units,44
2_counties,2007,New London County,NA,5+ units,102
2_counties,2007,Tolland County,NA,1 unit,341
2_counties,2007,Tolland County,NA,2 to 4 units,6
2_counties,2007,Tolland County,NA,5+ units,179
2_counties,2007,Windham County,NA,1 unit,287
2_counties,2007,Windham County,NA,2 to 4 units,16
2_counties,2007,Windham County,NA,5+ units,0
2_counties,2008,Fairfield County,NA,1 unit,713
2_counties,2008,Fairfield County,NA,2 to 4 units,50
2_counties,2008,Fairfield County,NA,5+ units,1051
2_counties,2008,Hartford County,NA,1 unit,686
2_counties,2008,Hartford County,NA,2 to 4 units,77
2_counties,2008,Hartford County,NA,5+ units,276
2_counties,2008,Litchfield County,NA,1 unit,249
2_counties,2008,Litchfield County,NA,2 to 4 units,12
2_counties,2008,Litchfield County,NA,5+ units,0
2_counties,2008,Middlesex County,NA,1 unit,215
2_counties,2008,Middlesex County,NA,2 to 4 units,7
2_counties,2008,Middlesex County,NA,5+ units,133
2_counties,2008,New Haven County,NA,1 unit,615
2_counties,2008,New Haven County,NA,2 to 4 units,20
2_counties,2008,New Haven County,NA,5+ units,285
2_counties,2008,New London County,NA,1 unit,308
2_counties,2008,New London County,NA,2 to 4 units,31
2_counties,2008,New London County,NA,5+ units,24
2_counties,2008,Tolland County,NA,1 unit,197
2_counties,2008,Tolland County,NA,2 to 4 units,4
2_counties,2008,Tolland County,NA,5+ units,96
2_counties,2008,Windham County,NA,1 unit,156
2_counties,2008,Windham County,NA,2 to 4 units,10
2_counties,2008,Windham County,NA,5+ units,5
2_counties,2009,Fairfield County,NA,1 unit,476
2_counties,2009,Fairfield County,NA,2 to 4 units,59
2_counties,2009,Fairfield County,NA,5+ units,664
2_counties,2009,Hartford County,NA,1 unit,590
2_counties,2009,Hartford County,NA,2 to 4 units,23
2_counties,2009,Hartford County,NA,5+ units,197
2_counties,2009,Litchfield County,NA,1 unit,157
2_counties,2009,Litchfield County,NA,2 to 4 units,6
2_counties,2009,Litchfield County,NA,5+ units,0
2_counties,2009,Middlesex County,NA,1 unit,236
2_counties,2009,Middlesex County,NA,2 to 4 units,5
2_counties,2009,Middlesex County,NA,5+ units,58
2_counties,2009,New Haven County,NA,1 unit,393
2_counties,2009,New Haven County,NA,2 to 4 units,21
2_counties,2009,New Haven County,NA,5+ units,95
2_counties,2009,New London County,NA,1 unit,259
2_counties,2009,New London County,NA,2 to 4 units,15
2_counties,2009,New London County,NA,5+ units,153
2_counties,2009,Tolland County,NA,1 unit,185
2_counties,2009,Tolland County,NA,2 to 4 units,4
2_counties,2009,Tolland County,NA,5+ units,40
2_counties,2009,Windham County,NA,1 unit,146
2_counties,2009,Windham County,NA,2 to 4 units,4
2_counties,2009,Windham County,NA,5+ units,0
2_counties,2010,Fairfield County,NA,1 unit,546
2_counties,2010,Fairfield County,NA,2 to 4 units,73
2_counties,2010,Fairfield County,NA,5+ units,307
2_counties,2010,Hartford County,NA,1 unit,630
2_counties,2010,Hartford County,NA,2 to 4 units,37
2_counties,2010,Hartford County,NA,5+ units,143
2_counties,2010,Litchfield County,NA,1 unit,140
2_counties,2010,Litchfield County,NA,2 to 4 units,0
2_counties,2010,Litchfield County,NA,5+ units,24
2_counties,2010,Middlesex County,NA,1 unit,271
2_counties,2010,Middlesex County,NA,2 to 4 units,8
2_counties,2010,Middlesex County,NA,5+ units,0
2_counties,2010,New Haven County,NA,1 unit,452
2_counties,2010,New Haven County,NA,2 to 4 units,26
2_counties,2010,New Haven County,NA,5+ units,541
2_counties,2010,New London County,NA,1 unit,285
2_counties,2010,New London County,NA,2 to 4 units,6
2_counties,2010,New London County,NA,5+ units,53
2_counties,2010,Tolland County,NA,1 unit,166
2_counties,2010,Tolland County,NA,2 to 4 units,4
2_counties,2010,Tolland County,NA,5+ units,20
2_counties,2010,Windham County,NA,1 unit,142
2_counties,2010,Windham County,NA,2 to 4 units,2
2_counties,2010,Windham County,NA,5+ units,56
2_counties,2011,Fairfield County,NA,1 unit,583
2_counties,2011,Fairfield County,NA,2 to 4 units,34
2_counties,2011,Fairfield County,NA,5+ units,320
2_counties,2011,Hartford County,NA,1 unit,476
2_counties,2011,Hartford County,NA,2 to 4 units,14
2_counties,2011,Hartford County,NA,5+ units,110
2_counties,2011,Litchfield County,NA,1 unit,111
2_counties,2011,Litchfield County,NA,2 to 4 units,0
2_counties,2011,Litchfield County,NA,5+ units,0
2_counties,2011,Middlesex County,NA,1 unit,172
2_counties,2011,Middlesex County,NA,2 to 4 units,18
2_counties,2011,Middlesex County,NA,5+ units,0
2_counties,2011,New Haven County,NA,1 unit,422
2_counties,2011,New Haven County,NA,2 to 4 units,132
2_counties,2011,New Haven County,NA,5+ units,135
2_counties,2011,New London County,NA,1 unit,195
2_counties,2011,New London County,NA,2 to 4 units,14
2_counties,2011,New London County,NA,5+ units,0
2_counties,2011,Tolland County,NA,1 unit,111
2_counties,2011,Tolland County,NA,2 to 4 units,30
2_counties,2011,Tolland County,NA,5+ units,192
2_counties,2011,Windham County,NA,1 unit,92
2_counties,2011,Windham County,NA,2 to 4 units,6
2_counties,2011,Windham County,NA,5+ units,6
2_counties,2012,Fairfield County,NA,1 unit,634
2_counties,2012,Fairfield County,NA,2 to 4 units,64
2_counties,2012,Fairfield County,NA,5+ units,1440
2_counties,2012,Hartford County,NA,1 unit,563
2_counties,2012,Hartford County,NA,2 to 4 units,10
2_counties,2012,Hartford County,NA,5+ units,265
2_counties,2012,Litchfield County,NA,1 unit,144
2_counties,2012,Litchfield County,NA,2 to 4 units,0
2_counties,2012,Litchfield County,NA,5+ units,10
2_counties,2012,Middlesex County,NA,1 unit,229
2_counties,2012,Middlesex County,NA,2 to 4 units,20
2_counties,2012,Middlesex County,NA,5+ units,0
2_counties,2012,New Haven County,NA,1 unit,466
2_counties,2012,New Haven County,NA,2 to 4 units,21
2_counties,2012,New Haven County,NA,5+ units,182
2_counties,2012,New London County,NA,1 unit,261
2_counties,2012,New London County,NA,2 to 4 units,18
2_counties,2012,New London County,NA,5+ units,12
2_counties,2012,Tolland County,NA,1 unit,147
2_counties,2012,Tolland County,NA,2 to 4 units,6
2_counties,2012,Tolland County,NA,5+ units,83
2_counties,2012,Windham County,NA,1 unit,90
2_counties,2012,Windham County,NA,2 to 4 units,4
2_counties,2012,Windham County,NA,5+ units,0
2_counties,2013,Fairfield County,NA,1 unit,870
2_counties,2013,Fairfield County,NA,2 to 4 units,84
2_counties,2013,Fairfield County,NA,5+ units,1547
2_counties,2013,Hartford County,NA,1 unit,601
2_counties,2013,Hartford County,NA,2 to 4 units,94
2_counties,2013,Hartford County,NA,5+ units,368
2_counties,2013,Litchfield County,NA,1 unit,145
2_counties,2013,Litchfield County,NA,2 to 4 units,13
2_counties,2013,Litchfield County,NA,5+ units,0
2_counties,2013,Middlesex County,NA,1 unit,202
2_counties,2013,Middlesex County,NA,2 to 4 units,8
2_counties,2013,Middlesex County,NA,5+ units,24
2_counties,2013,New Haven County,NA,1 unit,460
2_counties,2013,New Haven County,NA,2 to 4 units,56
2_counties,2013,New Haven County,NA,5+ units,299
2_counties,2013,New London County,NA,1 unit,326
2_counties,2013,New London County,NA,2 to 4 units,34
2_counties,2013,New London County,NA,5+ units,12
2_counties,2013,Tolland County,NA,1 unit,156
2_counties,2013,Tolland County,NA,2 to 4 units,8
2_counties,2013,Tolland County,NA,5+ units,18
2_counties,2013,Windham County,NA,1 unit,95
2_counties,2013,Windham County,NA,2 to 4 units,4
2_counties,2013,Windham County,NA,5+ units,0
2_counties,2014,Fairfield County,NA,1 unit,987
2_counties,2014,Fairfield County,NA,2 to 4 units,100
2_counties,2014,Fairfield County,NA,5+ units,802
2_counties,2014,Hartford County,NA,1 unit,435
2_counties,2014,Hartford County,NA,2 to 4 units,119
2_counties,2014,Hartford County,NA,5+ units,408
2_counties,2014,Litchfield County,NA,1 unit,141
2_counties,2014,Litchfield County,NA,2 to 4 units,4
2_counties,2014,Litchfield County,NA,5+ units,0
2_counties,2014,Middlesex County,NA,1 unit,164
2_counties,2014,Middlesex County,NA,2 to 4 units,14
2_counties,2014,Middlesex County,NA,5+ units,50
2_counties,2014,New Haven County,NA,1 unit,484
2_counties,2014,New Haven County,NA,2 to 4 units,50
2_counties,2014,New Haven County,NA,5+ units,606
2_counties,2014,New London County,NA,1 unit,288
2_counties,2014,New London County,NA,2 to 4 units,18
2_counties,2014,New London County,NA,5+ units,340
2_counties,2014,Tolland County,NA,1 unit,155
2_counties,2014,Tolland County,NA,2 to 4 units,8
2_counties,2014,Tolland County,NA,5+ units,40
2_counties,2014,Windham County,NA,1 unit,106
2_counties,2014,Windham County,NA,2 to 4 units,10
2_counties,2014,Windham County,NA,5+ units,0
2_counties,2015,Fairfield County,NA,1 unit,800
2_counties,2015,Fairfield County,NA,2 to 4 units,31
2_counties,2015,Fairfield County,NA,5+ units,1767
2_counties,2015,Hartford County,NA,1 unit,491
2_counties,2015,Hartford County,NA,2 to 4 units,17
2_counties,2015,Hartford County,NA,5+ units,384
2_counties,2015,Litchfield County,NA,1 unit,101
2_counties,2015,Litchfield County,NA,2 to 4 units,6
2_counties,2015,Litchfield County,NA,5+ units,5
2_counties,2015,Middlesex County,NA,1 unit,141
2_counties,2015,Middlesex County,NA,2 to 4 units,15
2_counties,2015,Middlesex County,NA,5+ units,146
2_counties,2015,New Haven County,NA,1 unit,422
2_counties,2015,New Haven County,NA,2 to 4 units,65
2_counties,2015,New Haven County,NA,5+ units,674
2_counties,2015,New London County,NA,1 unit,238
2_counties,2015,New London County,NA,2 to 4 units,6
2_counties,2015,New London County,NA,5+ units,287
2_counties,2015,Tolland County,NA,1 unit,156
2_counties,2015,Tolland County,NA,2 to 4 units,2
2_counties,2015,Tolland County,NA,5+ units,230
2_counties,2015,Windham County,NA,1 unit,87
2_counties,2015,Windham County,NA,2 to 4 units,6
2_counties,2015,Windham County,NA,5+ units,0
2_counties,2016,Fairfield County,NA,1 unit,712
2_counties,2016,Fairfield County,NA,2 to 4 units,63
2_counties,2016,Fairfield County,NA,5+ units,1128
2_counties,2016,Hartford County,NA,1 unit,553
2_counties,2016,Hartford County,NA,2 to 4 units,35
2_counties,2016,Hartford County,NA,5+ units,873
2_counties,2016,Litchfield County,NA,1 unit,112
2_counties,2016,Litchfield County,NA,2 to 4 units,7
2_counties,2016,Litchfield County,NA,5+ units,38
2_counties,2016,Middlesex County,NA,1 unit,164
2_counties,2016,Middlesex County,NA,2 to 4 units,14
2_counties,2016,Middlesex County,NA,5+ units,42
2_counties,2016,New Haven County,NA,1 unit,378
2_counties,2016,New Haven County,NA,2 to 4 units,22
2_counties,2016,New Haven County,NA,5+ units,518
2_counties,2016,New London County,NA,1 unit,258
2_counties,2016,New London County,NA,2 to 4 units,44
2_counties,2016,New London County,NA,5+ units,28
2_counties,2016,Tolland County,NA,1 unit,155
2_counties,2016,Tolland County,NA,2 to 4 units,14
2_counties,2016,Tolland County,NA,5+ units,215
2_counties,2016,Windham County,NA,1 unit,129
2_counties,2016,Windham County,NA,2 to 4 units,2
2_counties,2016,Windham County,NA,5+ units,0
2_counties,2017,Fairfield County,NA,1 unit,765
2_counties,2017,Fairfield County,NA,2 to 4 units,79
2_counties,2017,Fairfield County,NA,5+ units,875
2_counties,2017,Hartford County,NA,1 unit,455
2_counties,2017,Hartford County,NA,2 to 4 units,26
2_counties,2017,Hartford County,NA,5+ units,476
2_counties,2017,Litchfield County,NA,1 unit,125
2_counties,2017,Litchfield County,NA,2 to 4 units,5
2_counties,2017,Litchfield County,NA,5+ units,12
2_counties,2017,Middlesex County,NA,1 unit,150
2_counties,2017,Middlesex County,NA,2 to 4 units,4
2_counties,2017,Middlesex County,NA,5+ units,83
2_counties,2017,New Haven County,NA,1 unit,469
2_counties,2017,New Haven County,NA,2 to 4 units,16
2_counties,2017,New Haven County,NA,5+ units,265
2_counties,2017,New London County,NA,1 unit,226
2_counties,2017,New London County,NA,2 to 4 units,16
2_counties,2017,New London County,NA,5+ units,53
2_counties,2017,Tolland County,NA,1 unit,156
2_counties,2017,Tolland County,NA,2 to 4 units,9
2_counties,2017,Tolland County,NA,5+ units,148
2_counties,2017,Windham County,NA,1 unit,134
2_counties,2017,Windham County,NA,2 to 4 units,0
2_counties,2017,Windham County,NA,5+ units,0
3_towns,2001,Andover,Tolland County,1 unit,8
3_towns,2001,Andover,Tolland County,2 to 4 units,0
3_towns,2001,Andover,Tolland County,5+ units,0
3_towns,2001,Ansonia,New Haven County,1 unit,20
3_towns,2001,Ansonia,New Haven County,2 to 4 units,2
3_towns,2001,Ansonia,New Haven County,5+ units,0
3_towns,2001,Ashford,Windham County,1 unit,21
3_towns,2001,Ashford,Windham County,2 to 4 units,0
3_towns,2001,Ashford,Windham County,5+ units,0
3_towns,2001,Avon,Hartford County,1 unit,89
3_towns,2001,Avon,Hartford County,2 to 4 units,0
3_towns,2001,Avon,Hartford County,5+ units,0
3_towns,2001,Barkhamsted,Litchfield County,1 unit,24
3_towns,2001,Barkhamsted,Litchfield County,2 to 4 units,0
3_towns,2001,Barkhamsted,Litchfield County,5+ units,0
3_towns,2001,Beacon Falls,New Haven County,1 unit,24
3_towns,2001,Beacon Falls,New Haven County,2 to 4 units,0
3_towns,2001,Beacon Falls,New Haven County,5+ units,0
3_towns,2001,Berlin,Hartford County,1 unit,118
3_towns,2001,Berlin,Hartford County,2 to 4 units,4
3_towns,2001,Berlin,Hartford County,5+ units,103
3_towns,2001,Bethany,New Haven County,1 unit,16
3_towns,2001,Bethany,New Haven County,2 to 4 units,0
3_towns,2001,Bethany,New Haven County,5+ units,0
3_towns,2001,Bethel,Fairfield County,1 unit,90
3_towns,2001,Bethel,Fairfield County,2 to 4 units,0
3_towns,2001,Bethel,Fairfield County,5+ units,0
3_towns,2001,Bethlehem,Litchfield County,1 unit,20
3_towns,2001,Bethlehem,Litchfield County,2 to 4 units,0
3_towns,2001,Bethlehem,Litchfield County,5+ units,0
3_towns,2001,Bloomfield,Hartford County,1 unit,40
3_towns,2001,Bloomfield,Hartford County,2 to 4 units,0
3_towns,2001,Bloomfield,Hartford County,5+ units,0
3_towns,2001,Bolton,Tolland County,1 unit,16
3_towns,2001,Bolton,Tolland County,2 to 4 units,0
3_towns,2001,Bolton,Tolland County,5+ units,0
3_towns,2001,Bozrah,New London County,1 unit,13
3_towns,2001,Bozrah,New London County,2 to 4 units,0
3_towns,2001,Bozrah,New London County,5+ units,0
3_towns,2001,Branford,New Haven County,1 unit,40
3_towns,2001,Branford,New Haven County,2 to 4 units,4
3_towns,2001,Branford,New Haven County,5+ units,0
3_towns,2001,Bridgeport,Fairfield County,1 unit,94
3_towns,2001,Bridgeport,Fairfield County,2 to 4 units,7
3_towns,2001,Bridgeport,Fairfield County,5+ units,0
3_towns,2001,Bridgewater,Litchfield County,1 unit,5
3_towns,2001,Bridgewater,Litchfield County,2 to 4 units,0
3_towns,2001,Bridgewater,Litchfield County,5+ units,0
3_towns,2001,Bristol,Hartford County,1 unit,113
3_towns,2001,Bristol,Hartford County,2 to 4 units,4
3_towns,2001,Bristol,Hartford County,5+ units,0
3_towns,2001,Brookfield,Fairfield County,1 unit,32
3_towns,2001,Brookfield,Fairfield County,2 to 4 units,0
3_towns,2001,Brookfield,Fairfield County,5+ units,0
3_towns,2001,Brooklyn,Windham County,1 unit,45
3_towns,2001,Brooklyn,Windham County,2 to 4 units,0
3_towns,2001,Brooklyn,Windham County,5+ units,0
3_towns,2001,Burlington,Hartford County,1 unit,56
3_towns,2001,Burlington,Hartford County,2 to 4 units,6
3_towns,2001,Burlington,Hartford County,5+ units,18
3_towns,2001,Canaan,Litchfield County,1 unit,4
3_towns,2001,Canaan,Litchfield County,2 to 4 units,0
3_towns,2001,Canaan,Litchfield County,5+ units,0
3_towns,2001,Canterbury,Windham County,1 unit,24
3_towns,2001,Canterbury,Windham County,2 to 4 units,0
3_towns,2001,Canterbury,Windham County,5+ units,0
3_towns,2001,Canton,Hartford County,1 unit,50
3_towns,2001,Canton,Hartford County,2 to 4 units,0
3_towns,2001,Canton,Hartford County,5+ units,0
3_towns,2001,Chaplin,Windham County,1 unit,14
3_towns,2001,Chaplin,Windham County,2 to 4 units,0
3_towns,2001,Chaplin,Windham County,5+ units,0
3_towns,2001,Cheshire,New Haven County,1 unit,47
3_towns,2001,Cheshire,New Haven County,2 to 4 units,0
3_towns,2001,Cheshire,New Haven County,5+ units,41
3_towns,2001,Chester,Middlesex County,1 unit,11
3_towns,2001,Chester,Middlesex County,2 to 4 units,0
3_towns,2001,Chester,Middlesex County,5+ units,0
3_towns,2001,Clinton,Middlesex County,1 unit,61
3_towns,2001,Clinton,Middlesex County,2 to 4 units,0
3_towns,2001,Clinton,Middlesex County,5+ units,0
3_towns,2001,Colchester,New London County,1 unit,85
3_towns,2001,Colchester,New London County,2 to 4 units,0
3_towns,2001,Colchester,New London County,5+ units,0
3_towns,2001,Colebrook,Litchfield County,1 unit,7
3_towns,2001,Colebrook,Litchfield County,2 to 4 units,0
3_towns,2001,Colebrook,Litchfield County,5+ units,0
3_towns,2001,Columbia,Tolland County,1 unit,32
3_towns,2001,Columbia,Tolland County,2 to 4 units,0
3_towns,2001,Columbia,Tolland County,5+ units,0
