level,name,year,group,value,share
2_counties,Litchfield County,2018,total_households,73987,NA
2_counties,Litchfield County,2018,living_alone,20451,0.276
2_counties,Litchfield County,2018,married_w_kids,13357,0.181
2_counties,Litchfield County,2018,married_no_kids,25650,0.347
2_counties,Litchfield County,2018,single_w_kids,4365,0.059
2_counties,Litchfield County,2018,other_households,10164,0.137
2_counties,Middlesex County,2000,total_households,61341,NA
2_counties,Middlesex County,2000,living_alone,16715,0.272
2_counties,Middlesex County,2000,married_w_kids,14698,0.24
2_counties,Middlesex County,2000,married_no_kids,18648,0.304
2_counties,Middlesex County,2000,single_w_kids,3887,0.063
2_counties,Middlesex County,2000,other_households,7393,0.121
2_counties,Middlesex County,2010,total_households,66975,NA
2_counties,Middlesex County,2010,living_alone,17875,0.267
2_counties,Middlesex County,2010,married_w_kids,15084,0.225
2_counties,Middlesex County,2010,married_no_kids,21393,0.319
2_counties,Middlesex County,2010,single_w_kids,4591,0.069
2_counties,Middlesex County,2010,other_households,8032,0.12
2_counties,Middlesex County,2018,total_households,66892,NA
2_counties,Middlesex County,2018,living_alone,19425,0.29
2_counties,Middlesex County,2018,married_w_kids,11758,0.176
2_counties,Middlesex County,2018,married_no_kids,22493,0.336
2_counties,Middlesex County,2018,single_w_kids,4394,0.066
2_counties,Middlesex County,2018,other_households,8822,0.132
2_counties,New Haven County,2000,total_households,319040,NA
2_counties,New Haven County,2000,living_alone,90086,0.282
2_counties,New Haven County,2000,married_w_kids,68845,0.216
2_counties,New Haven County,2000,married_no_kids,86160,0.27
2_counties,New Haven County,2000,single_w_kids,30581,0.096
2_counties,New Haven County,2000,other_households,43368,0.136
2_counties,New Haven County,2010,total_households,330785,NA
2_counties,New Haven County,2010,living_alone,93926,0.284
2_counties,New Haven County,2010,married_w_kids,66653,0.201
2_counties,New Haven County,2010,married_no_kids,90087,0.272
2_counties,New Haven County,2010,single_w_kids,33484,0.101
2_counties,New Haven County,2010,other_households,46635,0.141
2_counties,New Haven County,2018,total_households,329857,NA
2_counties,New Haven County,2018,living_alone,104693,0.317
2_counties,New Haven County,2018,married_w_kids,51562,0.156
2_counties,New Haven County,2018,married_no_kids,92898,0.282
2_counties,New Haven County,2018,single_w_kids,29717,0.09
2_counties,New Haven County,2018,other_households,50987,0.155
2_counties,New London County,2000,total_households,99835,NA
2_counties,New London County,2000,living_alone,26310,0.264
2_counties,New London County,2000,married_w_kids,23365,0.234
2_counties,New London County,2000,married_no_kids,29062,0.291
2_counties,New London County,2000,single_w_kids,8940,0.09
2_counties,New London County,2000,other_households,12158,0.122
2_counties,New London County,2010,total_households,106590,NA
2_counties,New London County,2010,living_alone,28725,0.269
2_counties,New London County,2010,married_w_kids,21763,0.204
2_counties,New London County,2010,married_no_kids,32842,0.308
2_counties,New London County,2010,single_w_kids,9736,0.091
2_counties,New London County,2010,other_households,13524,0.127
2_counties,New London County,2018,total_households,107402,NA
2_counties,New London County,2018,living_alone,31316,0.292
2_counties,New London County,2018,married_w_kids,17779,0.166
2_counties,New London County,2018,married_no_kids,33009,0.307
2_counties,New London County,2018,single_w_kids,10188,0.095
2_counties,New London County,2018,other_households,15110,0.141
2_counties,Tolland County,2000,total_households,49431,NA
2_counties,Tolland County,2000,living_alone,11604,0.235
2_counties,Tolland County,2000,married_w_kids,13167,0.266
2_counties,Tolland County,2000,married_no_kids,15492,0.313
2_counties,Tolland County,2000,single_w_kids,3276,0.066
2_counties,Tolland County,2000,other_households,5892,0.119
2_counties,Tolland County,2010,total_households,54452,NA
2_counties,Tolland County,2010,living_alone,12114,0.222
2_counties,Tolland County,2010,married_w_kids,13478,0.248
2_counties,Tolland County,2010,married_no_kids,18295,0.336
2_counties,Tolland County,2010,single_w_kids,3732,0.069
2_counties,Tolland County,2010,other_households,6833,0.125
2_counties,Tolland County,2018,total_households,55232,NA
2_counties,Tolland County,2018,living_alone,14259,0.258
2_counties,Tolland County,2018,married_w_kids,10677,0.193
2_counties,Tolland County,2018,married_no_kids,18252,0.33
2_counties,Tolland County,2018,single_w_kids,3500,0.063
2_counties,Tolland County,2018,other_households,8544,0.155
2_counties,Windham County,2000,total_households,41142,NA
2_counties,Windham County,2000,living_alone,9997,0.243
2_counties,Windham County,2000,married_w_kids,9631,0.234
2_counties,Windham County,2000,married_no_kids,11878,0.289
2_counties,Windham County,2000,single_w_kids,4172,0.101
2_counties,Windham County,2000,other_households,5464,0.133
2_counties,Windham County,2010,total_households,44321,NA
2_counties,Windham County,2010,living_alone,11086,0.25
2_counties,Windham County,2010,married_w_kids,9113,0.206
2_counties,Windham County,2010,married_no_kids,13426,0.303
2_counties,Windham County,2010,single_w_kids,4618,0.104
2_counties,Windham County,2010,other_households,6078,0.137
2_counties,Windham County,2018,total_households,44449,NA
2_counties,Windham County,2018,living_alone,11973,0.269
2_counties,Windham County,2018,married_w_kids,7015,0.158
2_counties,Windham County,2018,married_no_kids,14239,0.32
2_counties,Windham County,2018,single_w_kids,4442,0.1
2_counties,Windham County,2018,other_households,6780,0.153
3_towns,Andover,2000,total_households,1150,NA
3_towns,Andover,2000,living_alone,218,0.19
3_towns,Andover,2000,married_w_kids,361,0.314
3_towns,Andover,2000,married_no_kids,378,0.329
3_towns,Andover,2000,single_w_kids,70,0.061
3_towns,Andover,2000,other_households,123,0.107
3_towns,Andover,2010,total_households,1276,NA
3_towns,Andover,2010,living_alone,259,0.203
3_towns,Andover,2010,married_w_kids,331,0.259
3_towns,Andover,2010,married_no_kids,396,0.31
3_towns,Andover,2010,single_w_kids,51,0.04
3_towns,Andover,2010,other_households,239,0.187
3_towns,Andover,2018,total_households,1235,NA
3_towns,Andover,2018,living_alone,275,0.223
3_towns,Andover,2018,married_w_kids,237,0.192
3_towns,Andover,2018,married_no_kids,555,0.449
3_towns,Andover,2018,single_w_kids,42,0.034
3_towns,Andover,2018,other_households,126,0.102
3_towns,Ansonia,2000,total_households,7507,NA
3_towns,Ansonia,2000,living_alone,2143,0.285
3_towns,Ansonia,2000,married_w_kids,1522,0.203
3_towns,Ansonia,2000,married_no_kids,1942,0.259
3_towns,Ansonia,2000,single_w_kids,835,0.111
3_towns,Ansonia,2000,other_households,1065,0.142
3_towns,Ansonia,2010,total_households,7622,NA
3_towns,Ansonia,2010,living_alone,2081,0.273
3_towns,Ansonia,2010,married_w_kids,1561,0.205
3_towns,Ansonia,2010,married_no_kids,1824,0.239
3_towns,Ansonia,2010,single_w_kids,751,0.099
3_towns,Ansonia,2010,other_households,1405,0.184
3_towns,Ansonia,2018,total_households,7452,NA
3_towns,Ansonia,2018,living_alone,2492,0.334
3_towns,Ansonia,2018,married_w_kids,1011,0.136
3_towns,Ansonia,2018,married_no_kids,1717,0.23
3_towns,Ansonia,2018,single_w_kids,738,0.099
3_towns,Ansonia,2018,other_households,1494,0.2
3_towns,Ashford,2000,total_households,1578,NA
3_towns,Ashford,2000,living_alone,325,0.206
3_towns,Ashford,2000,married_w_kids,430,0.272
3_towns,Ashford,2000,married_no_kids,461,0.292
3_towns,Ashford,2000,single_w_kids,114,0.072
3_towns,Ashford,2000,other_households,248,0.157
3_towns,Ashford,2010,total_households,1686,NA
3_towns,Ashford,2010,living_alone,424,0.251
3_towns,Ashford,2010,married_w_kids,349,0.207
3_towns,Ashford,2010,married_no_kids,612,0.363
3_towns,Ashford,2010,single_w_kids,75,0.044
3_towns,Ashford,2010,other_households,226,0.134
3_towns,Ashford,2018,total_households,1780,NA
3_towns,Ashford,2018,living_alone,579,0.325
3_towns,Ashford,2018,married_w_kids,281,0.158
3_towns,Ashford,2018,married_no_kids,516,0.29
3_towns,Ashford,2018,single_w_kids,130,0.073
3_towns,Ashford,2018,other_households,274,0.154
3_towns,Avon,2000,total_households,6192,NA
3_towns,Avon,2000,living_alone,1455,0.235
3_towns,Avon,2000,married_w_kids,1885,0.304
3_towns,Avon,2000,married_no_kids,2190,0.354
3_towns,Avon,2000,single_w_kids,221,0.036
3_towns,Avon,2000,other_households,441,0.071
3_towns,Avon,2010,total_households,6786,NA
3_towns,Avon,2010,living_alone,1587,0.234
3_towns,Avon,2010,married_w_kids,2049,0.302
3_towns,Avon,2010,married_no_kids,2148,0.317
3_towns,Avon,2010,single_w_kids,354,0.052
3_towns,Avon,2010,other_households,648,0.095
3_towns,Avon,2018,total_households,6968,NA
3_towns,Avon,2018,living_alone,1678,0.241
3_towns,Avon,2018,married_w_kids,2179,0.313
3_towns,Avon,2018,married_no_kids,2532,0.363
3_towns,Avon,2018,single_w_kids,193,0.028
3_towns,Avon,2018,other_households,386,0.055
3_towns,Barkhamsted,2000,total_households,1334,NA
3_towns,Barkhamsted,2000,living_alone,225,0.169
3_towns,Barkhamsted,2000,married_w_kids,414,0.31
3_towns,Barkhamsted,2000,married_no_kids,496,0.372
3_towns,Barkhamsted,2000,single_w_kids,69,0.052
3_towns,Barkhamsted,2000,other_households,130,0.097
3_towns,Barkhamsted,2010,total_households,1407,NA
3_towns,Barkhamsted,2010,living_alone,245,0.174
3_towns,Barkhamsted,2010,married_w_kids,449,0.319
3_towns,Barkhamsted,2010,married_no_kids,561,0.399
3_towns,Barkhamsted,2010,single_w_kids,62,0.044
3_towns,Barkhamsted,2010,other_households,90,0.064
3_towns,Barkhamsted,2018,total_households,1364,NA
3_towns,Barkhamsted,2018,living_alone,177,0.13
3_towns,Barkhamsted,2018,married_w_kids,363,0.266
3_towns,Barkhamsted,2018,married_no_kids,581,0.426
3_towns,Barkhamsted,2018,single_w_kids,53,0.039
3_towns,Barkhamsted,2018,other_households,190,0.139
3_towns,Beacon Falls,2000,total_households,2032,NA
3_towns,Beacon Falls,2000,living_alone,467,0.23
3_towns,Beacon Falls,2000,married_w_kids,566,0.279
3_towns,Beacon Falls,2000,married_no_kids,617,0.304
3_towns,Beacon Falls,2000,single_w_kids,126,0.062
3_towns,Beacon Falls,2000,other_households,256,0.126
3_towns,Beacon Falls,2010,total_households,2278,NA
3_towns,Beacon Falls,2010,living_alone,615,0.27
3_towns,Beacon Falls,2010,married_w_kids,534,0.234
3_towns,Beacon Falls,2010,married_no_kids,777,0.341
3_towns,Beacon Falls,2010,single_w_kids,194,0.085
3_towns,Beacon Falls,2010,other_households,158,0.069
3_towns,Beacon Falls,2018,total_households,2466,NA
3_towns,Beacon Falls,2018,living_alone,765,0.31
3_towns,Beacon Falls,2018,married_w_kids,469,0.19
3_towns,Beacon Falls,2018,married_no_kids,780,0.316
3_towns,Beacon Falls,2018,single_w_kids,169,0.069
3_towns,Beacon Falls,2018,other_households,283,0.115
3_towns,Berlin,2000,total_households,6792,NA
3_towns,Berlin,2000,living_alone,1415,0.208
3_towns,Berlin,2000,married_w_kids,2041,0.301
3_towns,Berlin,2000,married_no_kids,2407,0.354
3_towns,Berlin,2000,single_w_kids,290,0.043
3_towns,Berlin,2000,other_households,639,0.094
3_towns,Berlin,2010,total_households,7467,NA
3_towns,Berlin,2010,living_alone,1535,0.206
3_towns,Berlin,2010,married_w_kids,1839,0.246
3_towns,Berlin,2010,married_no_kids,2668,0.357
3_towns,Berlin,2010,single_w_kids,459,0.061
3_towns,Berlin,2010,other_households,966,0.129
3_towns,Berlin,2018,total_households,8243,NA
3_towns,Berlin,2018,living_alone,2009,0.244
3_towns,Berlin,2018,married_w_kids,1592,0.193
3_towns,Berlin,2018,married_no_kids,3188,0.387
3_towns,Berlin,2018,single_w_kids,489,0.059
3_towns,Berlin,2018,other_households,965,0.117
3_towns,Bethany,2000,total_households,1755,NA
3_towns,Bethany,2000,living_alone,237,0.135
3_towns,Bethany,2000,married_w_kids,622,0.354
3_towns,Bethany,2000,married_no_kids,673,0.383
3_towns,Bethany,2000,single_w_kids,84,0.048
3_towns,Bethany,2000,other_households,139,0.079
3_towns,Bethany,2010,total_households,1888,NA
3_towns,Bethany,2010,living_alone,222,0.118
3_towns,Bethany,2010,married_w_kids,662,0.351
3_towns,Bethany,2010,married_no_kids,803,0.425
3_towns,Bethany,2010,single_w_kids,89,0.047
3_towns,Bethany,2010,other_households,112,0.059
3_towns,Bethany,2018,total_households,1967,NA
3_towns,Bethany,2018,living_alone,288,0.146
3_towns,Bethany,2018,married_w_kids,451,0.229
3_towns,Bethany,2018,married_no_kids,1025,0.521
3_towns,Bethany,2018,single_w_kids,53,0.027
3_towns,Bethany,2018,other_households,150,0.076
3_towns,Bethel,2000,total_households,6505,NA
3_towns,Bethel,2000,living_alone,1339,0.206
3_towns,Bethel,2000,married_w_kids,2111,0.325
3_towns,Bethel,2000,married_no_kids,1948,0.299
3_towns,Bethel,2000,single_w_kids,400,0.061
3_towns,Bethel,2000,other_households,707,0.109
3_towns,Bethel,2010,total_households,6590,NA
3_towns,Bethel,2010,living_alone,1281,0.194
3_towns,Bethel,2010,married_w_kids,1867,0.283
3_towns,Bethel,2010,married_no_kids,2429,0.369
3_towns,Bethel,2010,single_w_kids,505,0.077
3_towns,Bethel,2010,other_households,508,0.077
3_towns,Bethel,2018,total_households,7271,NA
3_towns,Bethel,2018,living_alone,1933,0.266
3_towns,Bethel,2018,married_w_kids,1753,0.241
3_towns,Bethel,2018,married_no_kids,2249,0.309
3_towns,Bethel,2018,single_w_kids,575,0.079
3_towns,Bethel,2018,other_households,761,0.105
3_towns,Bethlehem,2000,total_households,1246,NA
3_towns,Bethlehem,2000,living_alone,244,0.196
3_towns,Bethlehem,2000,married_w_kids,385,0.309
3_towns,Bethlehem,2000,married_no_kids,433,0.348
3_towns,Bethlehem,2000,single_w_kids,54,0.043
3_towns,Bethlehem,2000,other_households,130,0.104
3_towns,Bethlehem,2010,total_households,1485,NA
3_towns,Bethlehem,2010,living_alone,343,0.231
3_towns,Bethlehem,2010,married_w_kids,350,0.236
3_towns,Bethlehem,2010,married_no_kids,580,0.391
3_towns,Bethlehem,2010,single_w_kids,43,0.029
3_towns,Bethlehem,2010,other_households,169,0.114
3_towns,Bethlehem,2018,total_households,1306,NA
3_towns,Bethlehem,2018,living_alone,324,0.248
3_towns,Bethlehem,2018,married_w_kids,255,0.195
3_towns,Bethlehem,2018,married_no_kids,506,0.387
3_towns,Bethlehem,2018,single_w_kids,70,0.054
3_towns,Bethlehem,2018,other_households,151,0.116
3_towns,Bloomfield,2000,total_households,7902,NA
3_towns,Bloomfield,2000,living_alone,2380,0.301
3_towns,Bloomfield,2000,married_w_kids,1228,0.155
3_towns,Bloomfield,2000,married_no_kids,2413,0.305
3_towns,Bloomfield,2000,single_w_kids,670,0.085
3_towns,Bloomfield,2000,other_households,1211,0.153
3_towns,Bloomfield,2010,total_households,8696,NA
3_towns,Bloomfield,2010,living_alone,3019,0.347
3_towns,Bloomfield,2010,married_w_kids,1159,0.133
3_towns,Bloomfield,2010,married_no_kids,2501,0.288
3_towns,Bloomfield,2010,single_w_kids,632,0.073
3_towns,Bloomfield,2010,other_households,1385,0.159
3_towns,Bloomfield,2018,total_households,8613,NA
3_towns,Bloomfield,2018,living_alone,2816,0.327
3_towns,Bloomfield,2018,married_w_kids,923,0.107
3_towns,Bloomfield,2018,married_no_kids,2865,0.333
3_towns,Bloomfield,2018,single_w_kids,479,0.056
3_towns,Bloomfield,2018,other_households,1530,0.178
3_towns,Bolton,2000,total_households,1906,NA
3_towns,Bolton,2000,living_alone,375,0.197
3_towns,Bolton,2000,married_w_kids,561,0.294
3_towns,Bolton,2000,married_no_kids,705,0.37
3_towns,Bolton,2000,single_w_kids,99,0.052
3_towns,Bolton,2000,other_households,166,0.087
3_towns,Bolton,2010,total_households,2061,NA
3_towns,Bolton,2010,living_alone,513,0.249
3_towns,Bolton,2010,married_w_kids,400,0.194
3_towns,Bolton,2010,married_no_kids,775,0.376
3_towns,Bolton,2010,single_w_kids,116,0.056
3_towns,Bolton,2010,other_households,257,0.125
3_towns,Bolton,2018,total_households,1803,NA
3_towns,Bolton,2018,living_alone,367,0.204
3_towns,Bolton,2018,married_w_kids,411,0.228
3_towns,Bolton,2018,married_no_kids,691,0.383
3_towns,Bolton,2018,single_w_kids,95,0.053
3_towns,Bolton,2018,other_households,239,0.133
3_towns,Bozrah,2000,total_households,883,NA
3_towns,Bozrah,2000,living_alone,173,0.196
3_towns,Bozrah,2000,married_w_kids,241,0.273
3_towns,Bozrah,2000,married_no_kids,312,0.353
3_towns,Bozrah,2000,single_w_kids,47,0.053
3_towns,Bozrah,2000,other_households,110,0.125
3_towns,Bozrah,2010,total_households,1098,NA
3_towns,Bozrah,2010,living_alone,247,0.225
3_towns,Bozrah,2010,married_w_kids,233,0.212
3_towns,Bozrah,2010,married_no_kids,388,0.353
3_towns,Bozrah,2010,single_w_kids,118,0.107
3_towns,Bozrah,2010,other_households,112,0.102
3_towns,Bozrah,2018,total_households,989,NA
3_towns,Bozrah,2018,living_alone,175,0.177
3_towns,Bozrah,2018,married_w_kids,144,0.146
3_towns,Bozrah,2018,married_no_kids,442,0.447
3_towns,Bozrah,2018,single_w_kids,91,0.092
3_towns,Bozrah,2018,other_households,137,0.139
3_towns,Branford,2000,total_households,12543,NA
3_towns,Branford,2000,living_alone,4068,0.324
3_towns,Branford,2000,married_w_kids,2426,0.193
3_towns,Branford,2000,married_no_kids,3588,0.286
3_towns,Branford,2000,single_w_kids,799,0.064
3_towns,Branford,2000,other_households,1662,0.133
3_towns,Branford,2010,total_households,12119,NA
3_towns,Branford,2010,living_alone,3772,0.311
3_towns,Branford,2010,married_w_kids,2007,0.166
3_towns,Branford,2010,married_no_kids,3847,0.317
3_towns,Branford,2010,single_w_kids,770,0.064
3_towns,Branford,2010,other_households,1723,0.142
3_towns,Branford,2018,total_households,12430,NA
3_towns,Branford,2018,living_alone,4262,0.343
3_towns,Branford,2018,married_w_kids,1542,0.124
3_towns,Branford,2018,married_no_kids,4115,0.331
3_towns,Branford,2018,single_w_kids,966,0.078
3_towns,Branford,2018,other_households,1545,0.124
3_towns,Bridgeport,2000,total_households,50307,NA
3_towns,Bridgeport,2000,living_alone,14577,0.29
3_towns,Bridgeport,2000,married_w_kids,8462,0.168
3_towns,Bridgeport,2000,married_no_kids,9156,0.182
3_towns,Bridgeport,2000,single_w_kids,8782,0.175
3_towns,Bridgeport,2000,other_households,9330,0.185
3_towns,Bridgeport,2010,total_households,52281,NA
3_towns,Bridgeport,2010,living_alone,16348,0.313
3_towns,Bridgeport,2010,married_w_kids,8525,0.163
3_towns,Bridgeport,2010,married_no_kids,8723,0.167
3_towns,Bridgeport,2010,single_w_kids,8950,0.171
3_towns,Bridgeport,2010,other_households,9735,0.186
3_towns,Bridgeport,2018,total_households,50547,NA
3_towns,Bridgeport,2018,living_alone,14467,0.286
3_towns,Bridgeport,2018,married_w_kids,7625,0.151
3_towns,Bridgeport,2018,married_no_kids,9127,0.181
3_towns,Bridgeport,2018,single_w_kids,8192,0.162
3_towns,Bridgeport,2018,other_households,11136,0.22
3_towns,Bridgewater,2000,total_households,703,NA
3_towns,Bridgewater,2000,living_alone,148,0.211
3_towns,Bridgewater,2000,married_w_kids,183,0.26
3_towns,Bridgewater,2000,married_no_kids,291,0.414
3_towns,Bridgewater,2000,single_w_kids,24,0.034
3_towns,Bridgewater,2000,other_households,57,0.081
3_towns,Bridgewater,2010,total_households,734,NA
3_towns,Bridgewater,2010,living_alone,172,0.234
3_towns,Bridgewater,2010,married_w_kids,122,0.166
3_towns,Bridgewater,2010,married_no_kids,365,0.497
3_towns,Bridgewater,2010,single_w_kids,28,0.038
3_towns,Bridgewater,2010,other_households,47,0.064
3_towns,Bridgewater,2018,total_households,710,NA
3_towns,Bridgewater,2018,living_alone,156,0.22
3_towns,Bridgewater,2018,married_w_kids,104,0.146
3_towns,Bridgewater,2018,married_no_kids,343,0.483
3_towns,Bridgewater,2018,single_w_kids,25,0.035
3_towns,Bridgewater,2018,other_households,82,0.115
3_towns,Bristol,2000,total_households,24886,NA
3_towns,Bristol,2000,living_alone,7180,0.289
3_towns,Bristol,2000,married_w_kids,5236,0.21
3_towns,Bristol,2000,married_no_kids,7114,0.286
3_towns,Bristol,2000,single_w_kids,2131,0.086
3_towns,Bristol,2000,other_households,3225,0.13
3_towns,Bristol,2010,total_households,24966,NA
3_towns,Bristol,2010,living_alone,7733,0.31
3_towns,Bristol,2010,married_w_kids,4762,0.191
3_towns,Bristol,2010,married_no_kids,6707,0.269
3_towns,Bristol,2010,single_w_kids,2187,0.088
3_towns,Bristol,2010,other_households,3577,0.143
3_towns,Bristol,2018,total_households,24460,NA
3_towns,Bristol,2018,living_alone,7806,0.319
3_towns,Bristol,2018,married_w_kids,4167,0.17
3_towns,Bristol,2018,married_no_kids,6375,0.261
3_towns,Bristol,2018,single_w_kids,2241,0.092
3_towns,Bristol,2018,other_households,3871,0.158
3_towns,Brookfield,2000,total_households,5572,NA
3_towns,Brookfield,2000,living_alone,961,0.172
3_towns,Brookfield,2000,married_w_kids,1905,0.342
3_towns,Brookfield,2000,married_no_kids,1892,0.34
3_towns,Brookfield,2000,single_w_kids,271,0.049
3_towns,Brookfield,2000,other_households,543,0.097
3_towns,Brookfield,2010,total_households,5869,NA
3_towns,Brookfield,2010,living_alone,1019,0.174
3_towns,Brookfield,2010,married_w_kids,1796,0.306
3_towns,Brookfield,2010,married_no_kids,2137,0.364
3_towns,Brookfield,2010,single_w_kids,334,0.057
3_towns,Brookfield,2010,other_households,583,0.099
3_towns,Brookfield,2018,total_households,6190,NA
3_towns,Brookfield,2018,living_alone,1289,0.208
3_towns,Brookfield,2018,married_w_kids,1684,0.272
3_towns,Brookfield,2018,married_no_kids,2278,0.368
3_towns,Brookfield,2018,single_w_kids,286,0.046
3_towns,Brookfield,2018,other_households,653,0.105
3_towns,Brooklyn,2000,total_households,2531,NA
3_towns,Brooklyn,2000,living_alone,553,0.218
3_towns,Brooklyn,2000,married_w_kids,622,0.246
3_towns,Brooklyn,2000,married_no_kids,819,0.324
3_towns,Brooklyn,2000,single_w_kids,238,0.094
3_towns,Brooklyn,2000,other_households,299,0.118
3_towns,Brooklyn,2010,total_households,2654,NA
3_towns,Brooklyn,2010,living_alone,443,0.167
3_towns,Brooklyn,2010,married_w_kids,671,0.253
3_towns,Brooklyn,2010,married_no_kids,925,0.349
3_towns,Brooklyn,2010,single_w_kids,333,0.125
3_towns,Brooklyn,2010,other_households,282,0.106
3_towns,Brooklyn,2018,total_households,3126,NA
3_towns,Brooklyn,2018,living_alone,786,0.251
3_towns,Brooklyn,2018,married_w_kids,594,0.19
3_towns,Brooklyn,2018,married_no_kids,1304,0.417
3_towns,Brooklyn,2018,single_w_kids,201,0.064
3_towns,Brooklyn,2018,other_households,241,0.077
3_towns,Burlington,2000,total_households,2840,NA
3_towns,Burlington,2000,living_alone,319,0.112
3_towns,Burlington,2000,married_w_kids,1076,0.379
3_towns,Burlington,2000,married_no_kids,1080,0.38
3_towns,Burlington,2000,single_w_kids,136,0.048
3_towns,Burlington,2000,other_households,229,0.081
3_towns,Burlington,2010,total_households,3183,NA
3_towns,Burlington,2010,living_alone,427,0.134
3_towns,Burlington,2010,married_w_kids,1247,0.392
3_towns,Burlington,2010,married_no_kids,1057,0.332
3_towns,Burlington,2010,single_w_kids,244,0.077
3_towns,Burlington,2010,other_households,208,0.065
3_towns,Burlington,2018,total_households,3367,NA
3_towns,Burlington,2018,living_alone,487,0.145
3_towns,Burlington,2018,married_w_kids,989,0.294
3_towns,Burlington,2018,married_no_kids,1317,0.391
3_towns,Burlington,2018,single_w_kids,185,0.055
3_towns,Burlington,2018,other_households,389,0.116
3_towns,Canaan,2000,total_households,445,NA
3_towns,Canaan,2000,living_alone,123,0.276
3_towns,Canaan,2000,married_w_kids,111,0.249
3_towns,Canaan,2000,married_no_kids,146,0.328
3_towns,Canaan,2000,single_w_kids,24,0.054
3_towns,Canaan,2000,other_households,41,0.092
3_towns,Canaan,2010,total_households,579,NA
3_towns,Canaan,2010,living_alone,221,0.382
3_towns,Canaan,2010,married_w_kids,72,0.124
3_towns,Canaan,2010,married_no_kids,195,0.337
3_towns,Canaan,2010,single_w_kids,46,0.079
3_towns,Canaan,2010,other_households,45,0.078
3_towns,Canaan,2018,total_households,531,NA
3_towns,Canaan,2018,living_alone,149,0.281
3_towns,Canaan,2018,married_w_kids,80,0.151
3_towns,Canaan,2018,married_no_kids,208,0.392
3_towns,Canaan,2018,single_w_kids,26,0.049
